indicator,target,direction,horizon_days,n_events,n_events_raw,low_n_flag,mean_return,median_return,hit_rate,max_dd,sharpe,t_stat,t_p,bs_ci_lo,bs_ci_hi,bs_ci_significant
xrp_price,xrp,above,1,16,16,False,-0.0069,-0.0039,0.312,-0.3023,-2.202,-0.555,0.5872,-0.0307,0.0167,False
xrp_price,xrp,above,7,16,16,False,0.0614,-0.0174,0.438,-0.4844,1.435,0.957,0.3538,-0.0426,0.1955,False
xrp_price,xrp,above,30,10,16,False,0.1608,-0.0445,0.2,-0.5729,0.613,0.669,0.5206,-0.1188,0.656,False
xrp_price,xrp,above,60,9,16,True,0.0806,-0.0226,0.444,-0.6951,0.311,0.455,0.6613,-0.1751,0.4565,False
xrp_price,xrp,above,90,6,16,True,0.3217,-0.0163,0.5,-0.6011,0.51,0.747,0.4885,-0.2378,1.1879,False
xrp_price,xrp,above,120,5,16,True,0.2487,0.1914,0.8,-0.1286,1.098,1.694,0.1654,-0.0028,0.5067,False
stablecoin_tvl,xrp,above,1,8,8,True,0.0052,0.0046,0.625,-0.0659,2.873,0.512,0.6245,-0.0124,0.0249,False
stablecoin_tvl,xrp,above,7,8,8,True,-0.0218,-0.0429,0.375,-0.3052,-1.743,-0.822,0.4384,-0.0684,0.0287,False
optical_module_demand,fujikura,above,1,27,27,False,0.004,0.0063,0.593,-0.2372,1.956,0.64,0.5275,-0.0077,0.0163,False
optical_module_demand,fujikura,above,7,27,27,False,0.0292,0.0286,0.63,-0.3248,2.036,1.763,0.0896,0.0003,0.0641,True
optical_module_demand,fujikura,above,30,16,27,False,0.1005,0.0657,0.562,-0.5283,1.245,1.718,0.1064,-0.0033,0.2177,False
optical_module_demand,fujikura,above,60,15,27,False,0.388,0.185,0.8,-0.2555,1.737,3.283,0.0054,0.1734,0.6206,True
optical_module_demand,fujikura,above,90,12,27,False,0.4534,0.4164,0.75,-0.372,1.388,2.873,0.0152,0.1724,0.7673,True
optical_module_demand,fujikura,above,120,9,27,True,0.8104,0.6631,0.889,-0.1576,1.363,2.823,0.0224,0.3258,1.3886,True
optical_module_demand,murata,above,1,26,26,False,0.0052,-0.0003,0.5,-0.1794,2.651,0.851,0.4026,-0.0055,0.0177,False
optical_module_demand,murata,above,7,26,26,False,-0.0024,0.006,0.538,-0.4623,-0.246,-0.209,0.836,-0.0239,0.0191,False
optical_module_demand,murata,above,30,16,26,False,0.0662,0.0017,0.5,-0.5204,0.618,0.854,0.4068,-0.0427,0.2353,False
optical_module_demand,murata,above,60,13,26,False,0.1002,-0.0165,0.385,-0.4945,0.648,1.141,0.2762,-0.0444,0.2816,False
optical_module_demand,murata,above,90,10,26,False,0.2612,-0.0368,0.5,-0.534,0.518,0.98,0.3528,-0.0838,0.8185,False
optical_module_demand,murata,above,120,8,26,True,0.128,0.002,0.625,-0.4021,0.549,1.071,0.3195,-0.0728,0.3553,False
